species|ecology|status|trends|world distribution
Mespilus germanica|A long-lived shrub or small tree occasionally found in hedges or woods, and as a relic of cultivation. In Britain, regeneration from seed appears to be very rare, but vegetative spread by suckering has been recorded. Lowland.|Archaeophyte|M. germanica has been grown in Britain since 995 (Harvey, 1981) and was later much planted in gardens and orchards for its fruits. It has apparently been less often planted in recent years, but trends in its distribution are difficult to discern.|Native of S.W. Asia and perhaps S.E. Europe; widely naturalised in C. Europe.
Meum athamanticum|A perennial herb of deep brown-earth neutral or mildly acidic soils occurring in dry, unimproved grassland in pastures, hay meadows and on roadside-banks. Mostly found below 300 m, though there are populations at 610 m at White Coombe (Dumfriess.) and Fealar (E. Perth).|Native|Many of the pre-1970 sites for M. athamanticum were lost before 1930 as a result of agricultural improvement of grassland and probably also through deliberate destruction because it can taint cows` milk. There have been further losses since the 1962 Atlas, though new sites have also been discovered, notably in N. Wales and Cumbria.|European Boreal-montane element, but absent from the Boreal zonobiome.
Mibora minima|A diminutive winter-annual of coastal sand dunes in Wales, on open nutrient-poor substrates which are free-draining but damp in winter; also, in the Channel Islands, on barish gravelly cliff-slopes. It is recorded at other dune sites in England and Scotland, and inland as a casual plant in nurseries and gardens. Lowland.|Native|Several new populations of M. minima have been discovered on dunes since 1980, and it is almost impossible to say whether they are native or alien. A Lancashire population, found in 1996, seems most likely to be the result of spread from the known native sites in Wales.|Suboceanic Southern-temperate element.
Milium effusum|A perennial herb of damp, deciduous woods and shaded banks, where it grows on winter-wet, calcareous to mildly acidic clay and loam soils, and also over rocks in W. Scotland. It is regarded as an indicator of ancient woodland in some parts of E. England. However, it is able to colonise open sites which are disturbed by felling or fire, and there is evidence of spread to more recent woodland in some upland areas. 0-380 m (W. of Dockray, Cumberland).|Native|This species was mapped as `all records` in the 1962 Atlas. It is now better recorded, and there is no evidence of a genuine change in its overall distribution.|Circumpolar Boreo-temperate element, with a disjunct distribution.
Milium vernale|An inconspicuous, early-flowering, annual grass growing in small patches in the short, nearly closed turf of fixed dunes. Lowland.|Native|In our area, this species is known only from two localities on the north coast of Guernsey, where it was first recorded in 1899 but then remained unrecorded for fifty years. The Guernsey plant is a genetically distinct prostrate population which was described as subsp. sarniense by McClintock (1986).|Mediterranean-Atlantic element; it reaches its northern limit on the island of Terschelling, Netherlands.
Mimulus|A genus of vigorous, stoloniferous perennials which have become widely naturalised in damp places. 0?440 m (above Garrigill, Cumberland).|Neophyte|Mimulus taxa were cultivated as waterside garden plants by 1759. They have been known to be established in the wild since at least 1830 and some have hybridised both in cultivation and in the wild to form a critical complex of closely related taxa. Because of identification difficulties, the individual taxa are probably under-recorded. Many species and cultivars of Mimulus are now commercially available and further garden escapes can be expected.|An aggregate comprising alien species from western N. & S. America, and their hybrids.
Mimulus guttatus|This vigorous perennial herb is found in wet places by streams, rivers and ponds, in damp meadows, marshy ground and open woodland. It spreads both by seed and vegetatively, rooting from the nodes in wet mud or gravel. Generally lowland, but upper altitudinal limit unknown.|Neophyte|M. guttatus is thought to have been introduced to cultivation in 1812. It soon became established in semi-natural habitats, being known in the wild by 1824. It continues to be a popular garden plant, but its distribution is probably stable. It has been much over-recorded for other taxa in the uplands.|Native of western N. America.
Mimulus guttatus x luteus (M. x robertsii)|A perennial hybrid of damp and wet places, including on mud and shingle by streams and rivers, in flushes and in marshy ground. This hybrid is partially fertile, and can spread vegetatively from stem fragments. It ascends to over 440 m above Garrigill (Cumberland) and probably to 610 m in the Ochils (W. Perth).|Neophyte|M. x robertsii was first recognised in Britain by Roberts (1964) but not named as M. x robertsii until 1990. The earliest record traced dates to 1872 (Berwicks.). It is the commonest taxon of high ground, and many records of Mimulus agg., M. luteus, and even M. guttatus are probably referable to this hybrid, which is therefore likely to be under-recorded.|A hybrid of garden origin.
Mimulus luteus|A creeping mat-forming perennial herb naturalised in damp or wet places such as marshes and flushes, and on riversides and river shingle. It reproduces by seed and vegetatively from stem fragments. Generally lowland, but upper altitudinal limit unknown.|Neophyte|M. luteus was introduced into cultivation c. 1826. It is very local and has been much over-recorded for M. x robertsii (M. guttatus x M. luteus). The map may contain some errors, particularly amongst the pre-1987 records.|Native of S. America (Andes).
Mimulus moschatus|A decumbent perennial herb, casual or naturalised in damp, often shaded places, including the muddy edges of ditches, wooded swamps, damp woodland rides, by ponds and in damp pasture. Seed has considerable longevity in the soil. Lowland.|Neophyte|M. moschatus was introduced to gardens in 1826, spreading from there into semi-natural habitats; it was recorded from the wild by 1866. It is a very distinct species which has not hybridised with the other Mimulus taxa, and ought to be well recorded. Its distribution is stable.|Native of western N. America.
Minuartia hybrida|This annual grows on light soils in dry places. Its natural habitat is dry, rocky, calcareous grassland on chalk and limestone. However, it is more frequent in artificial habitats such as abandoned arable fields, quarries, old walls, trackways, railway banks and sidings. Mainly lowland, but reaching 400 m at Langcliffe in the Craven Pennines (Mid-W. Yorks.).|Native|M. hybrida has greatly declined in arable and grassland habitats through agricultural intensification, but this has been somewhat offset by records from railways. This loss had mainly occurred before the 1962 Atlas, but has continued since.|Submediterranean-Subatlantic element.
Minuartia recurva|This tufted, calcifugous perennial herb grows in thin humus in dry narrow cracks in slabs of siliceous rocks of Old Red Sandstone age. 510-610 m in the Caha Mountains (S. Kerry and W. Cork).|Native|M. recurva was discovered in 1964 in the Caha Mountains, where two populations are found straddling the Cork-Kerry border. These populations appear to be stable.|European Arctic-montane element; confined to the mountains of S.W. Asia, S. & S.C. Europe and Ireland.
Minuartia rubella|This cushion-forming montane perennial herb is always associated with strongly base-rich rocks, including limestone and soft calcareous schists. The vegetation is usually open, as the ground on which it usually grows is both easily eroded and subjected to frost-heave. It reaches an altitude of 1180 m on Ben Lawers (Mid Perth), and formerly descended to 120 m on Unst (Shetland).|Native|The national population of M. rubella is likely to be stable, but its discovery in 1990 in the Ben Alder range (Westerness) extended its known range.|Circumpolar Arctic-montane element; absent from mountains of C. Europe.
Minuartia sedoides|M. sedoides is a mat- or cushion-forming perennial herb of base-rich rocks, flushed grassland, exposed montane heath, and mountain ledges and plateaux. From 335 m on Skye (N. Ebudes) to 1200 m on Ben Lawers (Mid Perth), but has been recorded at 215 m washed down in the stony bed of the R. Fillan at Tyndrum (Mid Perth).|Native|There has probably been little or no change in its 10-km distribution since the 1962 Atlas, since it is likely to be extant in most of the squares for which only pre-1970 records are available.|European Arctic-montane element; confined to the mountains of C. Europe and Scotland.
Minuartia stricta|A loosely tufted but slender perennial herb that has only ever been known in Britain from Widdybank Fell, where it grows in open, gravelly flushes and eroding margins of sikes on metamorphic sugar limestone. The plant is not a strong competitor and is mainly associated with hummock-forming mosses and species such as Carex capillaris, Juncus triglumis, Minuartia verna and Primula farinosa. Upland, from 490 to 510 m on Widdybank Fell (Co. Durham).|Native|There is no change in distribution from the 1962 Atlas.|Circumpolar Arctic-montane element.
Minuartia verna|M. verna is a perennial, basicolous, cushion-forming herb, characteristic of Carboniferous limestone districts where it is found in short grassland, on scars, on limestone pavement and scree. It also grows on base-rich volcanic rock in N. Wales and basalt in N. Ireland, on metal-rich soils, including those derived from serpentine, and on mining spoil. It prefers open sites with reduced competition, but may suffer from drought in very exposed conditions. Although seldom above 600 m, it has been recorded at 875 m on Snowdon (Caerns.).|Native|The distribution of M. verna is broadly stable.|Eurasian Boreal-montane element, with a disjunct distribution.     © K.J. Walker, BSBI
Misopates orontium|A spring-germinating annual of light soils, found in arable and other cultivated ground including among horticultural crops, and in gardens and waste places. It reproduces by seed, but cold, wet summers inhibit its germination and growth. Lowland.|Archaeophyte|M. orontium has declined because of agricultural intensification and the more widespread autumn sowing of crops. Salisbury (1961) noted that it appeared to be less frequent than formerly, and since then it has declined sharply, disappearing from almost half of its 10-km squares in S.E. England in the last forty years.|As an archaeophyte M. orontium has a Eurosiberian Southern-temperate distribution; it is widely naturalised outside this range.     © K.J. Walker, BSBI
Moehringia trinervia|An annual of open, often moist, ground, generally found in woodland but also in shaded hedge banks, and rarely in unshaded places such as on walls and railway banks. It favours slightly acidic substrates, and there is a slight preference for warmer slopes in woodland, which hastens the successful completion of the plant`s life-cycle. 0-425 m (Mallowdale Fell, W. Lancs.).|Native|There appears no significant change since the 1962 Atlas, where it was mapped as `all records`.|European Temperate element; also in E. Asia.     © Shannon, P
Moenchia erecta|This annual grows on summer-droughted soils in tightly-grazed grasslands and heaths, on cliff-tops, pathsides, coastal dunes and sandy shingle, usually in open patches where competition is limited. It is also found in quarries and sand-pits, and on other disturbed ground. Generally lowland, but reaching 410 m at Widecombe, Dartmoor (S. Devon).|Native|The species suffered a considerable decline before 1930, and this decline may still be continuing. The increased number of 10-km records since the 1962 Atlas must be attributed to a greater intensity of recording of this rather inconspicuous species.|Suboceanic Southern-temperate element.     © G. Toone, IWNHAS
Molinia caerulea|This deciduous perennial herb is found in a wide range of habitats, especially open heaths, moors, bogs and fens, but also in open birchwoods, mountain grassland and cliffs and stony lake margins. It is found on mildly basic to strongly acidic peats and mineral soils which are permanently or seasonally wet. 0-870 m (Meikle Kilrannoch, Angus).|Native|M. caerulea, mapped as `all records` in the 1962 Atlas, has declined in some lowland areas through habitat destruction. Conversely, it has increased in frequency where grazing has ceased. Subsp. caerulea is found throughout the range of the species, subsp. arundinacea is widespread but scattered in fens and by rivers and canals.|Eurosiberian Boreo-temperate element.     © M. Cotterill, IWNHAS
Moneses uniflora|A mycorrhizal, evergreen perennial herb, spreading by rhizomes within leaf litter and bryophytes in ericaceous dwarf shrub communities of old pine plantations, rarely now in native Pinus sylvestris forests. The solitary flower is insect-pollinated, but recruitment from seed is rare and most propagation is vegetative. Lowland, reaching 300 m (Castle Grant, Moray).|Native|Diminished by past collection, this attractive species has continued to decline through changes in land use and forest management. Much of this decline took place before 1970, but its future is dependent on sympathetic management. Most remaining populations are small and vulnerable.|Circumpolar Boreal-montane element.
Monotropa hypopitys|A saprophytic perennial herb of leaf litter in shaded woodlands, most frequent under Fagus and Corylus on calcareous substrates, and under Pinus on more acidic soils. It also grows in damp dune-slacks, where it is usually associated with Salix repens. 0-395 m (Buxton, Derbys.).|Native|A polyploid complex, with two subspecies in our area which are not easily separable morphologically. Although many sites were lost before 1930, the species has suffered a further marked decline in S. England since the 1962 Atlas. Though rare in Ireland, Curtis & McGough (1988) considered it to have been under-recorded in recent years.|Circumpolar Temperate element.     © K.J. Walker, BSBI
Montia fontana|An annual to perennial herb of acidic or neutral, seasonally or permanently wet places, including springs and flushes, where it often grows in bryophyte-rich communities, the sides of lakes, rivers and streams, damp tracks and paths and winter-moist sand or gravel. 0-945 m (Mt Brandon, S. Kerry), with unlocalised records from 970 m in the Scottish Highlands.|Native|The species was mapped as `all records` in the 1962 Atlas. There has probably been some loss in lowland England since then. The four subspecies in our area were mapped by Perring & Sell (1968) and are mapped separately here.|European Boreo-temperate element; also in C. & E. Asia and N. America.     © Shannon, P
Muscari neglectum|A bulbous perennial herb on free-draining soils, native or long-naturalised in grasslands, hedgerows, pine plantations and rough ground, and on roadsides on a wide range of nutrient-poor soils. It is also a short-lived garden escape or outcast near habitation, on roadsides, allotments and waste ground. Lowland.|Native|M. neglectum was first recorded in Britain in 1776. It is sometimes considered native in E. England, where its range has contracted in recent years, mainly as a result of development. As an alien this species has been confused with, and over-recorded for, M. armeniacum, which is more common in gardens and as an escape.|Eurosiberian Southern-temperate element.     © L. Rooney
Mycelis muralis|A winter-green perennial herb of shaded walls, rock outcrops and hedge banks, and in woodland, wood margins and scrub, especially on chalk and limestone but also on acidic rocks in some areas. In the Burren (Co. Clare) it occurs on open limestone pavement. 0-500 m (Alston Moor, Cumberland).|Native|The distribution of M. muralis has remained largely unchanged since the 1962 Atlas, though there are now more records from Scotland and Ireland. It is almost certainly an introduction in Ireland, where it is now frequent in semi-natural habitats in the Burren, where it was not recorded until 1939, and southern Co. Down.|European Temperate element.
Myosotis alpestris|A perennial herb found in two contrasting habitats: heavily-grazed limestone grassland on base-rich well-drained soils in the Pennines, and both on and below mica-schist ledges on ungrazed cliffs in Perthshire, often in open communities. Reproduction is by seed. From 685 m in Teesdale (N.W. Yorks. and Westmorland) to 1180 m on Ben Lawers (Mid Perth).|Native|The distribution of M. alpestris is generally stable, though some populations in the Pennines appear to be in decline. The English and Scottish populations are ecotypically distinct (Elkington, 1964).|Circumpolar Arctic-montane element, with a disjunct distribution.     © K.J. Walker, BSBI
Myosotis arvensis|An annual or biennial herb of open or disturbed ground, especially cultivated fields. Other habitats include woodland edges, open grassland, hedges, scrub, roadsides, walls and quarries. 0-610 m (Nenthead, Cumberland), and exceptionally at 845 m on Great Dun Fell (Westmorland).|Archaeophyte|Despite changes in agricultural practice, the distribution of M. arvensis has remained stable since 1900, due in part to its flexible life history and seed longevity. The larger-flowered var. sylvestris is often mistaken for M. sylvatica, but such errors are unlikely to have affected the map.|As an archaeophyte M. arvensis has a Eurosiberian Boreo-temperate distribution; it is widely naturalised outside this range.     © Shannon, P
Myosotis discolor|An annual of open grassland and disturbed ground occurring in a wide range of habitats, including fen- and hay-meadows, pastures, moorland edges, marshes, dune-slacks, arable field margins, road verges, railway tracks, chalk- and gravel-pits, rocks and walls. Generally lowland, but reaching 610 m on Little Fell (Westmorland) and 845 m on Great Dun Fell (Westmorland).|Native|M. discolor was mapped as `all records` in the 1962 Atlas. Analysis of the database reveals that the widespread decline in S. and E. England has taken place since 1950. It is, however, much more comprehensively recorded in the south and west.|European Temperate element.
Myosotis laxa|An annual or biennial herb of wet ground, often growing in open places trampled by livestock or where there has been other disturbance. It occurs in marshes, fen-meadows, rush-pastures, and by lakes, ponds, canals, rivers and streams. Lowland to 530 m in Atholl (E. Perth) and 550 m in Co. Londonderry.|Native|M. laxa was mapped as `all records` in the 1962 Atlas, and apart from local losses in S.E. England, seems little changed in distribution.|Circumpolar Boreo-temperate element, with a disjunct distribution.     © P. Shannon
Myosotis ramosissima|An annual of open habitats or bare ground on dry, relatively infertile soils. It is found in chalk and limestone grassland, on sandy heaths and banks, stabilised dunes, the borders of sandy cultivated fields, railway tracks, rocks, walls, gravel-pits, quarry spoil and waste ground. 0-430 m (above Swindale, Brough, Westmorland).|Native|M. ramosissima was mapped as `all records` in the 1962 Atlas. There have been some local losses since 1950, possibly caused by the loss of close-grazed semi-natural communities in inland areas.|European Southern-temperate element.     © Shannon, P
Myosotis scorpioides|A stoloniferous or rhizomatous perennial herb found in damp or wet habitats, usually in fertile, calcareous to mildly acidic soils. It is usually terrestrial, occurring by lakes, ponds, rivers and streams, in marshes and in fens, but may sometimes be aquatic, forming submerged patches or floating rafts. 0-600 m (Moor House, Westmorland).|Native|The distribution of M. scorpioides has been generally stable over many decades. It has sometimes been confused with M. secunda, and some errors may be included on the map.|Eurosiberian Temperate element; widely naturalised outside its native range.     © P. Shannon
Myosotis secunda|A stoloniferous annual to perennial herb found by streams and pools, in marshy pasture, moorland flushes and springs. It prefers acid peaty soils, and usually avoids calcareous soils. 0-805 m (Carnedd Llewelyn, Caerns.).|Native|This species has sometimes been confused with M. scorpioides and M. laxa, and the map in the 1962 Atlas certainly contained some errors. It is now more comprehensively recorded, and there appears to have been little change in its distribution, other than declines at the edge of its range in C. & S. England. It was mapped as `all records` in the 1962 Atlas.|Oceanic Temperate element.
Myosotis sicula|"An annual only ever known from two sites on Jersey, in damp places on Ouaisné Common and by a small pool near the coast at Noirmont. Lowland.
 



      Trends    

Native. M. sicula was discovered at both its Jersey localities by A. J. Wilmott in 1922. It was last seen at Ouaisné Common in 1957. The Noirmont population disappeared in the 1980s when the pool became shaded by Salix species, but these were cleared in 1983 and it was rediscovered at the site in 1992. The very small population there maintains a precarious existence.
 



      World Distribution    

Mediterranean-Atlantic element.
 

 

Link to interactive map"|"heophyta›Magnoliopsida›Boraginaceae›Myosotis›Myosotis sicula 










      Ecology    

An annual only ever known from two sites on Jersey, in damp places on Ouaisné Common and by a small pool near the coast at Noirmont. Lowland."|Native. M. sicula was discovered at both its Jersey localities by A. J. Wilmott in 1922. It was last seen at Ouaisné Common in 1957. The Noirmont population disappeared in the 1980s when the pool became shaded by Salix species, but these were cleared in 1983 and it was rediscovered at the site in 1992. The very small population there maintains a precarious existence.|Mediterranean-Atlantic element.
Myosotis stolonifera|A perennial herb growing by rills and along base-rich spring-lines and flushes. Mainly upland, reaching 820 m on Cross Fell (Cumberland), and down to 130 m in the Lune valley (Cumberland).|Native|This species was first collected in Britain in 1919, from the N. Pennines, and initially described as an endemic, M. brevifolia (Salmon, 1926). It was inadequately recorded for the 1962 Atlas, the plant not being sought in areas distant from the original sites. However, following a study of its characteristic features, M. stolonifera became better known and it has been found more widely, notably in S. Scotland. It may still be overlooked elsewhere.|Oceanic Boreal-montane element; confined to Portugal, Spain and Britain.
Myosotis sylvatica|An erect biennial or perennial herb growing as a native, at least in England, on damp, fertile soils in woodland and rocky grassland. It is much more widespread in a wider range of habitats as a garden escape. 0-485 m (East Stone Gill, N.W. Yorks.).|Native|The native range of M. sylvatica has been totally obscured by escapes, and all records are mapped as if they are native. Alien plants were once similar to the natives but are now often recognisable by their more varied, brighter flower colours. Such escapes were excluded from the map in the 1962 Atlas. Large-flowered variants of M. arvensis may have been reported as this species.|Eurasian Temperate element; widely naturalised outside its native range.     © K.J. Walker, BSBI
Myosoton aquaticum|This perennial herb usually grows in damp or wet habitats, including damp woods, Alnus and Salix carr, the banks of rivers, streams, canals and ditches, by ponds and in marshes and other wet places. It has been recorded on newly surfaced forestry rides, and can also tolerate occasional flooding by brackish water. Lowland.|Native|The distribution has been stable since the 1962 Atlas. Some records in the north of its range represent casual occurrences.|Eurosiberian Temperate element; also in E. Asia and widely naturalised outside its native range.     © P. Shannon
Myosurus minimus|An annual of seasonally flooded, nutrient-rich soils in areas disturbed by machinery or animals, such as hollows on ploughed land, rutted tracks and gateways in pastures. Its seeds appear to be long-lived. Lowland.|Native|It is difficult to assess trends in this inconspicuous and sporadic species, which was known in Britain by 1597. Many sites were lost before 1930, probably through the disuse of commons, re-surfacing of tracks and the drainage and filling of small ponds. It persists in areas such as coastal grazing marshes.|European Temperate element; also in N. America and Australasia and widely naturalised elsewhere.     © G. Toone, IWNHAS
Myrica gale|A small shrub which suckers to form dense thickets. It grows in organic soils in base-poor bogs and moorland, lowland raised bogs, wet heaths and acid carr; in all its sites, moving groundwater is a constant feature. It tolerates light shade and is not grazed. Generally lowland, but reaching at least 520 m in the Forest of Drumochter (Easterness).|Native|Some lowland populations have been lost to peat extraction and agricultural reclamation, whilst others have gone as woodland develops on bogs that have been drained or are drying out due to a falling water-table. In the uplands the distribution is stable.|Suboceanic Boreo-temperate element; also in E. Asia and N. America.
Myriophyllum alterniflorum|This submerged aquatic perennial occurs in both standing and flowing waters, including rapidly flowing, peaty streams and rivers in which few other macrophytes grow. In Scotland and Ireland it occurs in a wide range of habitats (including, occasionally, highly calcareous sites) but in S.E. England it is confined to acidic, mesotrophic or oligotrophic waters. 0-780 m (Lochan an Tairbh-uisge, Mid Perth).|Native|The map of this species is much more complete than that in the 1962 Atlas, with many more 10-km square records in Wales, Scotland and Ireland. The losses in lowland England largely occurred before 1930.|Suboceanic Boreo-temperate element; also in N. America.
Myriophyllum aquaticum|This perennial often grows in emergent masses in small, sheltered, eutrophic water bodies, especially ponds and ditches but also reservoirs, canals and flooded mineral workings. Only female plants are known in Britain and they spread clonally by vegetative fragmentation. Lowland.|Neophyte|This species, which has been grown in water gardens in Britain since 1878, was first recorded in the wild in 1960 in Surrey and in 1969 in E. Sussex; in Ireland it was first seen in Co. Down in 1990. It is introduced when surplus garden plants are dumped in the wild and the extent to which it spreads naturally to new sites is unknown.|Native of central S. America; female plants are now widely naturalised in warm temperate and tropical areas elsewhere.
Myriophyllum spicatum|This species grows in a wide range of meso-eutrophic or eutrophic and often calcareous waters. These include lakes, ponds, rivers, canals and ditches. It may persist in managed ditches and rivers and colonises newly flooded mineral workings. It also grows in slightly brackish sites. 0-390 m (Drumore Loch, E. Perth).|Native|This is the commonest Myriophyllum species in the eutrophic lowlands of Britain and in some areas of Ireland. Like many aquatic plants it is better recorded now than in the 1962 Atlas.|Eurasian Temperate element, but naturalised in N. America so distribution is now Circumpolar Temperate.
Myriophyllum verticillatum|M. verticillatum is a robust, perennial plant of clear or slightly turbid, still or slowly flowing calcareous water in lakes, streams, canals and ditches. It occurs over both peaty and inorganic substrates. It flowers and sets seed, and also perennates by specialised turions which are produced in the leaf axils. Lowland.|Native|This species is probably more frequent in the calcareous central plain of Ireland than elsewhere in our area, and there it is probably still under-recorded. The decline in M. verticillatum in S. England began before the 1962 Atlas, and has continued since then.|Circumpolar Temperate element.
Myrrhis odorata|A perennial herb of hedge banks, woodland margins, roadside verges, river banks and other grassy places. Many sites are near houses or old settlements, indicating its origin in cultivation, but it is also often found in places remote from habitation. Generally lowland, but reaching 500 m in E. Allendale (S. Northumb.).|Neophyte|This species was first recorded from the wild in 1777. There has been little appreciable change in its distribution since the 1962 Atlas.|Native of the mountains of C. & S. Europe; widely naturalised elsewhere in temperate Europe.     © P. Shannon
Najas flexilis|This aquatic plant is an annual which is usually found in deep, clear, mesotrophic lakes where the water receives some base-enrichment from nearby basalt, limestone or calcareous dune-sand. Lowland.|Native|This is an elusive species which has been recorded at an increasing number of British and Irish sites in recent years as a result of lake surveys. It has, however, apparently been lost from its only English site, Esthwaite Water (Westmorland), and some lakes in E. Scotland because of eutrophication.|Circumpolar Boreal-montane element, with a disjunct distribution.     © O.L. Pescott
Najas marina|N. marina grows in meso-eutrophic water over deep substrates of peat or silty mud in the Norfolk broads. It is a dioecious annual, with both male and female plants in Britain. Lowland.|Native|First discovered in Britain in 1883 (Hickling Broad, E. Norfolk), N. marina decreased in the late 1960s as a result of pollution, but has since responded to action which has been taken to reduce nutrient levels in the Norfolk Broads.|Circumpolar Southern-temperate element, with a continental distribution in W. Europe.
Narcissus pseudonarcissus||||
Nardus stricta|A densely tufted, shortly rhizomatous perennial found on winter-wet, base-poor, infertile and peaty soils, occurring in great quantity on upland hill-slopes, moorland and mountains, including snow-bed communities, but also found on lowland mires, heaths and acidic grasslands, and even sometimes in the upper reaches of saltmarsh turf. 0-1250 m (Ben Macdui, S. Aberdeen).|Native|Although the range of N. stricta has not changed appreciably since the 1962 Atlas, it continues to decline locally in lowland Britain because of habitat destruction.|European Boreo-temperate element; also in C. Asia and widely naturalised outside its native range.     © P. Shannon
Narthecium ossifragum|A rhizomatous perennial herb of wet, moderately basic to strongly acidic mineral soils and peats, in a wide range of raised, valley and blanket mire communities, and in wet heaths and flushes, especially where there is some water movement. It is intolerant of shade. Although it is slightly toxic, plants in the uplands may be heavily grazed. 0-1005 m (Beinn Heasgarnich, Mid Perth) but reportedly to 1130 m elsewhere in Scotland.|Native|Many sites for N. ossifragum were lost from lowland England before the 1962 Atlas. There have since been further local losses, notably from Surrey and Sussex, but the distribution is stable elsewhere.|Oceanic Boreo-temperate element.     © L. Rooney
Neotinea maculata|This tuberous perennial herb grows in a wide range of habitats on base-rich rocky or gravelly substrates. It can be found in the crevices of limestone pavement, in old pastures, hill grasslands, dunes and on road verges. Occasionally, it occurs on peat overlying more acidic rocks, and in Corylus-Fraxinus woodland. Lowland.|Native|Although this species has been lost from many sites in Ireland, it has recently been found at several new sites and its overall distribution is stable. It was found in the Isle of Man in 1967, but has not been recorded from there since 1986.|Mediterranean-Atlantic element.     © K.J. Walker, BSBI
Neottia nidus-avis|This saprophytic herb is most frequent in the deep humus of densely shaded Fagus woods on chalky soils. Less commonly it occurs in mixed deciduous woodland and mature Corylus coppices, on soils derived from limestones and base-rich clays and sands. Lowland.|Native|N. nidus-avis suffered a considerable decline throughout the 20th century, but particularly between 1930 and 1970, and especially in S.E. England. It is very vulnerable to habitat disruption, and most losses are probably due to changes in woodland management and coniferisation. It has not declined to the same extent in Ireland.|Eurosiberian Temperate element; also in E. Asia.     © L. Rooney
Nepeta cataria|A perennial herb of open grassland, waysides, hedge banks, roadsides and rough ground on calcareous soils. In addition to such long-established populations, plants occasionally escape from gardens and give rise to casual populations which rarely persist for more than a few seasons. The seed is long-lived. Lowland.|Archaeophyte|The marked contraction in range of N. cataria shown in the 1962 Atlas has continued. In Northamptonshire it has declined as a result of hedgerow removal (Gent et al., 1995). Elsewhere, the intensification of agriculture and the growth of scrub have claimed many sites.|As an archaeophyte N. cataria has a Eurosiberian Temperate distribution; it is widely naturalised outside this range.     © P. Shannon
Nuphar lutea|This perennial grows in mildly acidic or basic, mesotrophic or eutrophic water in lakes and slowly flowing rivers, canals and large ditches. Its submerged leaves allow it to persist in disturbed sites where the floating leaves are broken off. Generally lowland, but reaching 510 m at Llyn Crugnant (Cards.).|Native|Although N. lutea has been planted in some sites, it is less frequently introduced than Nymphaea alba and we have therefore attempted to map its native distribution. There is little evidence of change since the 1962 Atlas.|Eurosiberian Boreo-temperate element; closely related taxa occur in N. America.
Nuphar pumila|N. pumila grows in oligotrophic or mesotrophic water in lakes, sheltered bays, ditches and pools in marshes and bogs. It persists in one eutrophic lake in Shropshire. Lowland; upland records require confirmation.|Native|This species has long been confused with the hybrid N. lutea x N. pumila (N. x spenneriana), and the distribution of both is still poorly known. However, it is much better recorded than in the 1962 Atlas.|Circumpolar Boreal element; absent from western N. America and the eastern population is sometimes distinguished as N. microphylla.
Nymphaea alba|N. alba grows in lakes, ponds, the backwaters of rivers or large ditches, and occasionally in mires. It tolerates a wide range of water chemistry but lacks submerged leaves and is therefore vulnerable to disturbance by boats. Generally lowland, but reaching 405 m at Dock Tarn (Cumberland) and formerly 480 m at Angle Tarn (Westmorland).|Native|The native range of N. alba in our area has been obscured by introductions, and all records are mapped as if they are native. The increased frequency in S.E. England since the 1962 Atlas perhaps reflects the recording of such alien populations, which also include hybrids and cultivars.|European Temperate element.
Nymphoides peltata|A rhizomatous perennial which grows in water 0.5-2 metres deep in lakes, ponds, slowly flowing rivers, canals and large fenland ditches. As a native it is a plant of calcareous and eutrophic water. Lowland.|Native|N. peltata had declined as a native in the Thames valley by 1960, but remains frequent in the fenlands of East Anglia. It is popularly grown as an ornamental, and has become widely naturalised from material deliberately planted in the wild or discarded as surplus stock. These records obscure some of the older native occurrences.|Eurasian Temperate element; widely naturalised outside its native range.     © L. Rooney
Odontites vernus|An annual root-hemiparasite of short, often trampled grasslands, tracks, waste places, the edges of arable fields, gravelly and rocky seashores and saltmarshes. 0-540 m (Nenthead, Cumberland).|Native|The distribution of this species has not altered significantly since the 1962 Atlas. Three subspecies are represented in our area: subsp. vernus is widespread, subsp. serotinus is concentrated in S. Britain and Ireland, and subsp. litoralis is mapped separately.|Eurasian Temperate element; widely naturalised outside its native range.
Oenanthe aquatica|A tuberous perennial herb of still or slow-moving water, usually occurring on deep, silty, often eutrophic, substrates in shallow ponds and ditches, often where water fluctuates in depth. It also grows in open vegetation by sheltered lakes, reservoirs, canals, streams and rivers, and in marshes and seasonally flooded depressions. Lowland.|Native|O. aquatica has declined throughout its British range but particularly in the east. It is, however, better recorded now in its core areas than it was in the 1962 Atlas.|Eurosiberian Temperate element; also in E. Asia.     © P. Shannon
Oenanthe crocata|A tuberous perennial herb of shallow water in ditches, the banks of streams, rivers, canals, lakes and ponds, roadside culverts, marshes and wet woodland, among boulders at the top of beaches and on dripping or flushed sea-cliffs. Reproduction is usually by seed, and it perhaps spreads when detached tuberous roots are washed downstream. Generally lowland, but reaching 320 m in The Paps (N. Kerry).|Native|Though highly poisonous to man and animals, this species is rarely eradicated from sites, and its national distribution is largely stable.|Suboceanic Southern-temperate element.     © K.J. Walker, BSBI
